country_name,country_code,year,exports_usd,port_teu,lsc_index,has_exports,has_port_traffic,has_lsc
Kenya,KEN,2017,5747000000.0,1190000.0,57.4975,True,True,True
Kiribati,KIR,2017,15000000.0,53468.83,15.0025,True,True,True
"Korea, Dem. People's Rep.",PRK,2017,1770000000.0,,,True,False,False
"Korea, Rep.",KOR,2017,573694000000.0,27420698.0,537.5125,True,True,True
Kosovo,XKX,2017,,,,False,False,False
Kuwait,KWT,2017,55015000000.0,964623.5,29.305,True,True,True
Kyrgyz Republic,KGZ,2017,1764000000.0,,,True,False,False
Lao PDR,LAO,2017,4873000000.0,,,True,False,False
Latvia,LVA,2017,14126000000.0,449712.0,27.3625,True,True,True
Lebanon,LBN,2017,4026000000.0,1305038.0,95.6225,True,True,True
Lesotho,LSO,2017,1028000000.0,,,True,False,False
Liberia,LBR,2017,358000000.0,125000.0,21.1875,True,True,True
Libya,LBY,2017,20881000000.0,212164.5,52.355,True,True,True
Liechtenstein,LIE,2017,,,,False,False,False
Lithuania,LTU,2017,29901000000.0,472000.0,39.7725,True,True,True
Luxembourg,LUX,2017,15761000000.0,,,True,False,False
"Macao SAR, China",MAC,2017,1406000000.0,,,True,False,False
Madagascar,MDG,2017,2848000000.0,220000.0,31.57,True,True,True
Malawi,MWI,2017,839000000.0,,,True,False,False
Malaysia,MYS,2017,218130000000.0,23719787.0,463.025,True,True,True
Maldives,MDV,2017,318000000.0,82761.0,13.0,True,True,True
Mali,MLI,2017,2896000000.0,,,True,False,False
Malta,MLT,2017,2858000000.0,3245812.0,139.8075,True,True,True
Marshall Islands,MHL,2017,40000000.0,74193.53,22.9775,True,True,True
Mauritania,MRT,2017,1989000000.0,88400.0,28.405,True,True,True
Mauritius,MUS,2017,2342000000.0,379371.0,68.4425,True,True,True
Mexico,MEX,2017,409433000000.0,6375338.0,162.9875,True,True,True
"Micronesia, Fed. Sts.",FSM,2017,46000000.0,11433.5,8.05,True,True,True
Moldova,MDA,2017,2425000000.0,735.0142,3.65,True,True,True
Monaco,MCO,2017,,,,False,False,False
Mongolia,MNG,2017,6201000000.0,,,True,False,False
Montenegro,MNE,2017,421000000.0,43732.0,11.6025,True,True,True
Morocco,MAR,2017,25272000000.0,4509580.0,223.975,True,True,True
Mozambique,MOZ,2017,4755000000.0,,36.7425,True,False,True
Myanmar,MMR,2017,13879000000.0,1043469.0,44.9725,True,True,True
Namibia,NAM,2017,5229000000.0,176335.0,46.1025,True,True,True
Nauru,NRU,2017,15000000.0,5536.052,4.4775,True,True,True
Nepal,NPL,2017,742000000.0,,,True,False,False
Netherlands,NLD,2017,652065000000.0,13992474.0,396.185,True,True,True
New Caledonia,NCL,2017,1561000000.0,113000.0,46.155,True,True,True
New Zealand,NZL,2017,38075000000.0,3198925.0,104.125,True,True,True
Nicaragua,NIC,2017,5170000000.0,190756.0,26.845,True,True,True
Niger,NER,2017,1206000000.0,,,True,False,False
Nigeria,NGA,2017,44468000000.0,1408000.0,86.835,True,True,True
North Macedonia,MKD,2017,5668000000.0,,,True,False,False
Northern Mariana Islands,MNP,2017,5000000.0,94910.77,21.7275,True,True,True
Norway,NOR,2017,101054000000.0,764093.0,49.885,True,True,True
Oman,OMN,2017,32904000000.0,4785012.0,145.51,True,True,True
Pakistan,PAK,2017,21569000000.0,3284000.0,118.145,True,True,True
Palau,PLW,2017,6000000.0,20009.41,9.26,True,True,True
Panama,PAN,2017,11093000000.0,6899254.0,191.755,True,True,True
Papua New Guinea,PNG,2017,9952000000.0,177122.0,48.0625,True,True,True
Paraguay,PRY,2017,8680000000.0,37584.0,4.45,True,True,True
Peru,PER,2017,43454000000.0,2539720.0,114.955,True,True,True
Philippines,PHL,2017,68713000000.0,8249852.0,170.7825,True,True,True
Poland,POL,2017,234364000000.0,2384782.0,109.8475,True,True,True
Portugal,PRT,2017,62130000000.0,3124946.0,162.02,True,True,True
Puerto Rico (US),PRI,2017,,1319572.0,,False,True,False
Qatar,QAT,2017,67498000000.0,772800.0,49.29,True,True,True
Romania,ROU,2017,70761000000.0,696438.0,65.555,True,True,True
Russian Federation,RUS,2017,352943000000.0,4303955.0,207.645,True,True,True
Rwanda,RWA,2017,1037000000.0,,,True,False,False
Samoa,WSM,2017,44000000.0,34950.0,24.299999999999997,True,True,True
San Marino,SMR,2017,,,,False,False,False
Sao Tome and Principe,STP,2017,15000000.0,62980.9,14.415,True,True,True
Saudi Arabia,SAU,2017,221835000000.0,8082329.0,206.6025,True,True,True
Senegal,SEN,2017,2989000000.0,570500.0,58.6075,True,True,True
Serbia,SRB,2017,16992000000.0,,,True,False,False
Seychelles,SYC,2017,547000000.0,104572.7,21.715,True,True,True
Sierra Leone,SLE,2017,567000000.0,89100.0,24.1925,True,True,True
Singapore,SGP,2017,373446000000.0,33666600.0,561.36,True,True,True
Sint Maarten (Dutch part),SXM,2017,123000000.0,98101.0,44.8125,True,True,True
Slovak Republic,SVK,2017,83414000000.0,,,True,False,False
